ID,VIDEO_ID,TITLE,PUBLISHEDDATE,CHANNEL,CHANNELTITLE,CATEGORYID,CATEGORY_TITLE,TRENDING_DATE,VIEW_COUNT,LIKES,DISLIKES,COMMENT_COUNT,COMMENTS_DISABLED,COUNTRY,RANK
fbf6f23a-0cee-4550-a622-37577704a540,_LtsoLSpnqE,Golden State Warriors at Los Angeles Lakers | Full Game Highlights,2021-10-13,UCVSSpcmZD2PwPBqb8yKQKBA,NBA on ESPN,17,Sports,2021-10-17,141590,1728,44,310,FALSE,GB,1
067da431-9b6a-42f3-a631-25c09d9189a3,5lYT3PnKWlI,HIGHLIGHTS | Abraham scores on his return! | Andorra 0-5 England | ITV Sport,2021-10-09,UCBzDz6beXDfMtfxQdEutD_w,ITV Sport,17,Sports,2021-10-17,231372,2177,96,0,TRUE,GB,1
ff806031-fa5a-4c65-bc42-e38330b2071d,R-kluI9wfs0,TOON IN TRAINING | Amanda Staveley and Mehrdad Ghodoussi Watch Training For the First Time,2021-10-11,UCywGl_BPp9QhD0uAcP2HsJw,Newcastle United,17,Sports,2021-10-17,53962,1388,28,308,FALSE,GB,1
e14994e1-8f2f-4c13-a52c-643b483c6487,Ar_qqRShHHU,Deontay Wilder and Tyson Fury electric walkouts | PBC ON FOX | Fury vs Wilder III,2021-10-10,UCxm10NbD7LF1fVYcbHbcbXg,PBC ON FOX,17,Sports,2021-10-17,2364213,23865,1246,6341,FALSE,GB,1
ca57e028-a6c0-465a-be3f-86b760f3efca,se4snb8F9ZA,Tyson Fury • FULL POST FIGHT PRESS CONFERENCE vs. Deontay Wilder 3 • T-Mobile Arena,2021-10-10,UCEVVENPnHv-kcp2PqQuJvHg,SecondsOut,17,Sports,2021-10-17,2410216,20375,774,4490,FALSE,GB,1
f890f196-48dc-4fb8-94ad-f0662da54a41,2ML6S42HpLw,HIGHLIGHTS | Stones salvages a draw for Three Lions | England 1-1 Hungary | ITV Sport,2021-10-12,UCBzDz6beXDfMtfxQdEutD_w,ITV Sport,17,Sports,2021-10-17,109898,694,60,0,TRUE,GB,1
38dad1a5-efc7-48c7-bba2-ccaf34642e99,r8e-QPSF5Yc,Kraken @ Golden Knights 10/12/21 | NHL Highlights,2021-10-13,UCqFMzb-4AUf6WAIbl132QKA,NHL,17,Sports,2021-10-17,193542,2602,76,666,FALSE,GB,1
9d47c570-d18c-438a-a59b-3b5cfab3142d,Dn3zfJh01eg,Fury vs. Wilder was the greatest fight I have ever attended - Stephen A. Smith | First Take,2021-10-11,UCiWLfSweyRNmLpgEHekhoAg,ESPN,17,Sports,2021-10-17,452169,5359,904,1238,FALSE,GB,1
ed647c80-b4fd-40f7-8129-d9b031a64410,aioiScaqPWY,FIGHT USYK OR DON'T BOTHER!❌ John Fury rules out a fight between Tyson Fury and Dillian Whyte,2021-10-11,UCWw6scNyopJ0yjMu1SyOEyw,talkSPORT,17,Sports,2021-10-17,238571,2757,98,1340,FALSE,GB,1
e91eaa3c-39cb-4b96-bcb6-f9af67634847,ES4S1aNsSb0,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,2021-10-10,UC-hWvVvE-crFl5vg5G8QbqA,BT Sport Boxing,17,Sports,2021-10-17,6913800,76838,2088,11112,FALSE,GB,1
31966dc8-36f5-4772-ad0f-3aee4db7c2d7,laPC4ibZnSM,The third Deontay Wilder - Tyson Fury fight lived up to the expectations - Shannon I UNDISPUTED,2021-10-11,UCLXzq85ijg2LwJWFrz4pkmw,Skip and Shannon: UNDISPUTED,17,Sports,2021-10-17,980545,14248,483,2912,FALSE,GB,1
9f6a9d2c-e42e-496c-bf7a-b2690e95268f,X-ihI4PAU_I,Ringside POV: Every Knock Down and KO From Tyson Fury vs. Deontay Wilder Trilogy Fight,2021-10-11,UCWre6ryuk_CnWwx4uZCKuAw,Sporting News,17,Sports,2021-10-17,925023,11238,323,2495,FALSE,GB,1
888b8b03-b1de-4269-9cee-302d4d232635,FLOcPilRw-M,Lakers new Big 3 looked like a fire drill in loss to Warriors — Skip & Shannon | NBA | UNDISPUTED,2021-10-13,UCLXzq85ijg2LwJWFrz4pkmw,Skip and Shannon: UNDISPUTED,17,Sports,2021-10-17,1077193,12330,473,3100,FALSE,GB,1
3072407e-d0cb-4536-938b-0ec45898ffcb,VzIjjGipjL8,Foxes end United’s away unbeaten run in SIX goal thriller! | Leicester 4-2 Man Utd | EPL Highlights,2021-10-16,UCNAf1k0yIjyGu3k9BwAg3lg,Sky Sports Football,17,Sports,2021-10-17,1461901,24113,812,3188,FALSE,GB,1
7d61a2aa-440e-4c4d-9456-862b66c2d283,Flj-KI9fOoM,World's Smallest TV | OT 30,2021-10-11,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,17,Sports,2021-10-17,6222811,243518,4150,8519,FALSE,GB,1
e9d53d8d-9ea3-4f88-8729-bc3c8d3ac7b4,OFbbKrAWL4Y,HIGHLIGHTS | Juventus vs. Chelsea -- UEFA Women's Champions League 2021-22,2021-10-13,UCxgii5f9u4YgXCeubCozbEA,DAZN UEFA Women's Champions League,17,Sports,2021-10-17,162229,2626,65,143,FALSE,GB,1
68519fd8-a8be-46b5-9d6e-bcf37a4c2e1d,qMbZu152twA,Testing EVERY Weird Product that Footballers have Advertised,2021-10-12,UCtg9Di0mubuM_Cpw9OTRaDQ,Kieran Brown,17,Sports,2021-10-17,670945,16393,202,372,FALSE,GB,1
0a389432-62b4-40c7-8720-874b972a969e,rdM9YeUkXPQ,"Once again it's gonna be a bunch of excuses, says Jeff Mayweather about Fury knocking out Wilder",2021-10-13,UCovE49sAswHPZUO-ImVJ0yw,The Mayweather Channel,17,Sports,2021-10-17,163944,2734,146,1705,FALSE,GB,1
556f1f53-f9b2-4307-a78c-451e0820c986,xLcqs41-0dg,BRASIL 4 X 1 URUGUAI | MELHORES MOMENTOS | 12ª RODADA ELIMINATÓRIAS DA COPA | ge.globo,2021-10-15,UCgCKagVhzGnZcuP9bSMgMCg,ge,17,Sports,2021-10-17,4562725,167969,2996,10283,FALSE,GB,1
11753c86-0a37-4d0d-9e7c-cfc73ace1b85,W4aYm4wawwA,Tyson Fury v Deontay Wilder 3 🔥 Official Fight Highlights | Greatest Heavyweight Fight Of All-Time?,2021-10-14,UC-hWvVvE-crFl5vg5G8QbqA,BT Sport Boxing,17,Sports,2021-10-17,1113579,20585,306,2707,FALSE,GB,1
84cb0dac-95e9-451a-8971-a94662c06724,8MYBDex7QF8,"The Overlap Live Fan Debate 2.0: Gary Neville, Jamie Carragher & Paul Scholes | PL Returns Part 1",2021-10-14,UCjXIw1GlwaY1IzpW_jN9iCQ,The Overlap,17,Sports,2021-10-17,881660,17022,344,4251,FALSE,GB,1
24c7a261-602b-4966-8ae3-04e75e3839b5,5qcKiL7AOD8,"Lesnar returns for the Universal Title Match Contract Signing with Reigns: SmackDown, Oct. 15, 202..",2021-10-16,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,17,Sports,2021-10-17,2872431,81462,1596,4664,FALSE,GB,1
f9fc4b1d-5d8c-4a13-a4d8-0bf2cb833e21,k6KTMc-FDAc,"The Overlap Live Fan Debate 2.0: Gary Neville, Jamie Carragher & Paul Scholes | PL Returns Part 2",2021-10-15,UCjXIw1GlwaY1IzpW_jN9iCQ,The Overlap,17,Sports,2021-10-17,625384,11127,278,2363,FALSE,GB,1
618bce9d-c8e4-46dc-bfeb-68d584c3b645,xB5c1yx3p4E,Neves' strike completes AMAZING Wolves comeback! | Aston Villa 2-3 Wolves | EPL Highlights,2021-10-16,UCNAf1k0yIjyGu3k9BwAg3lg,Sky Sports Football,17,Sports,2021-10-17,683465,10989,212,898,FALSE,GB,1
6a413358-1f67-41c2-b931-d4632704c34f,yzLNXqKL5VY,Salah scores STUNNER as Firmino hits hat-trick! | Watford 0-5 Liverpool | Premier League Highlights,2021-10-16,UCNAf1k0yIjyGu3k9BwAg3lg,Sky Sports Football,17,Sports,2021-10-17,1193266,20377,329,1666,FALSE,GB,1
713d8ff2-b0f5-4e6c-a772-77b5654a98f1,Flj-KI9fOoM,World's Smallest TV | OT 30,2021-10-11,UCRijo3ddMTht_IHyNSNXpNQ,Dude Perfect,17,Sports,2021-10-17,6222811,243518,4150,8519,FALSE,CA,1
011f3c54-723e-4409-b29d-f821071113d2,avtPpUNaDV4,"Le film de la finale de l'UEFA Nations League, Equipe de France I FFF 2021",2021-10-11,UCeJlXGyEl7kBgQJKADAHM3A,Fédération Française de Football,17,Sports,2021-10-17,1504302,46069,609,1875,FALSE,CA,1
e6a2d55d-53e9-4315-9118-e5800a1fd1f0,ES4S1aNsSb0,Sore loser! An idiot! Tyson Fury reveals what was said between him & Deontay Wilder after huge win,2021-10-10,UC-hWvVvE-crFl5vg5G8QbqA,BT Sport Boxing,17,Sports,2021-10-17,6913800,76838,2088,11112,FALSE,CA,1
2d1983da-2e08-4ff7-b9d7-1d6a6031991b,_c3psT63Prs,Leylah Fernandez vs. Anastasia Pavlyuchenkova | 2021 Indian Wells Round of 32 | WTA Match Highlights,2021-10-11,UCaBIVVpHjq6j3tSyxwTE-8Q,WTA,17,Sports,2021-10-17,313319,3061,148,665,FALSE,CA,1
f91b3ee2-5419-4e1c-ad9a-bbccb299ac27,vcDMFSElaFc,#AsianQualifiers - Group A : IR Iran 1 - 1 Korea Republic,2021-10-12,UCXTRFt1vLvZpahQtiKJjLaQ,AFC Asian Cup,17,Sports,2021-10-17,533829,6854,208,1935,FALSE,CA,1
f9ba1919-e5a6-4d97-9ad7-f19bfa8042f6,RHSglqq5bho,Shelby Rogers vs. Leylah Fernandez | 2021 Indian Wells Round of 16 | WTA Match Highlights,2021-10-12,UCaBIVVpHjq6j3tSyxwTE-8Q,WTA,17,Sports,2021-10-17,285717,2347,95,757,FALSE,CA,1
1cb8c9a3-8ca0-46be-8869-3b214f8c1001,ZLqSeKKHi_w,Jumping Bikes Off A 4 Story Building (to give Red Bull Rampage context),2021-10-12,UCblfuW_4rakIf2h6aqANefA,Red Bull,17,Sports,2021-10-17,310026,9531,232,297,FALSE,CA,1
6355dd53-1a05-44f9-a940-f28e23aaca29,F3tP1n3TUUA,"RAPTORS at WIZARDS | NBA PRESEASON FULL GAME HIGHLIGHTS | October 12, 2021",2021-10-13,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,17,Sports,2021-10-17,439132,3940,118,730,FALSE,CA,1
0f0002e2-2aff-4a6f-9427-e95c8da7d1e0,BswmD3wEicU,"Espagne 1-2 France, le résumé - Finale UEFA Nations League I FFF 2021",2021-10-11,UCeJlXGyEl7kBgQJKADAHM3A,Fédération Française de Football,17,Sports,2021-10-17,1454288,22460,799,1332,FALSE,CA,1
4528c34d-59d3-4399-bf20-e20160a5ffa7,KrTdXnPr9hE,Canadiens @ Maple Leafs 10/13/21 | NHL Highlights,2021-10-14,UCqFMzb-4AUf6WAIbl132QKA,NHL,17,Sports,2021-10-17,126976,1229,58,215,FALSE,CA,1
01238031-91b5-4d5a-bbe8-34f4b7f474fe,5qcKiL7AOD8,"Lesnar returns for the Universal Title Match Contract Signing with Reigns: SmackDown, Oct. 15, 202..",2021-10-16,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,17,Sports,2021-10-17,2872431,81462,1597,4664,FALSE,CA,1
04d9b118-87e8-4e1d-a46a-525e69188ae3,dSjImSIcdGY,Team OM legends 7-4 Team Unicef l Le résumé complet de la rencontre,2021-10-13,UCoKweTwEeA-D9vuSVw_Z_DQ,OM,17,Sports,2021-10-17,1381539,26537,506,1137,FALSE,CA,1
77df702b-6e61-4847-bdfc-58ac6e407843,FLOcPilRw-M,Lakers new Big 3 looked like a fire drill in loss to Warriors — Skip & Shannon | NBA | UNDISPUTED,2021-10-13,UCLXzq85ijg2LwJWFrz4pkmw,Skip and Shannon: UNDISPUTED,17,Sports,2021-10-17,1077193,12330,473,3100,FALSE,CA,1
3dc8f726-ec1d-422a-bef6-643a52db22c3,uiJIC0g078U,How Donovan Mitchell Spent His First $1M in the NBA | My First Million | GQ Sports,2021-10-13,UCKbNOpmhmwBuJXXMYOg_txA,GQ Sports,17,Sports,2021-10-17,431912,15298,84,705,FALSE,CA,1
cec78e72-17bb-4e30-af5f-ed58358ecc47,AxVZwGAFVG0,“AUSTON PICKED ME?!” LEAFS CALL EACH OTHER OUT FOR FUN,2021-10-13,UC--i2rV5NCxiEIPefr3l-zQ,TSN,17,Sports,2021-10-17,193456,5803,88,430,FALSE,CA,1
b6c7ac2f-031c-4515-bbae-1a02164fb479,n7-RReFPXag,Eliminatorias | Brasil 4-1 Uruguay | Fecha 12,2021-10-15,UCzU8-lZlRfkV3nj0RzAZdrQ,CONMEBOL,17,Sports,2021-10-17,4354963,0,0,7293,FALSE,CA,1
98b6c973-3a18-476e-aa6c-9542d7a6d0c1,EPDZ1NPs8EI,"HIGHLIGHTS: Canada vs. Panama in World Cup Qualifying (Oct. 13, 2021)",2021-10-14,UCC8KlJfNKi_e6TC6RH8GDlA,OneSoccer,17,Sports,2021-10-17,150183,2626,29,699,FALSE,CA,1
e4861d9c-c40a-43be-8e8c-3a27124aab42,WWHT7rmqsss,Breaking Down Alphonso Davies' spectacular goal against Panama | World Cup Qualifier,2021-10-14,UCOGxnF5dWQtoEz6E-msabZA,CBC Sports,17,Sports,2021-10-17,253931,4059,98,456,FALSE,CA,1
76a83062-0e0e-461b-b5ef-457ccc6ae35d,fVYbmBS8ws4,Brandon Semenuk Makes Red Bull Rampage History Once Again | Winning Run 2021,2021-10-15,UCXqlds5f7B2OOs9vQuevl4A,Red Bull Bike,17,Sports,2021-10-17,292227,9108,89,412,FALSE,CA,1
35c06fd1-e064-4549-b82c-eb44f8ee268d,jBg61q8FcwA,JE TEST LE SKATE VERSACE ! (590€),2021-10-16,UCHvvKU6JqJbETm0VX459_qg,Joseph Garbaccio,17,Sports,2021-10-17,82727,14281,41,286,FALSE,FR,1
4c9c4ce2-87f4-47b4-aa1a-2625e37887a7,dSjImSIcdGY,Team OM legends 7-4 Team Unicef l Le résumé complet de la rencontre,2021-10-13,UCoKweTwEeA-D9vuSVw_Z_DQ,OM,17,Sports,2021-10-17,1381539,26537,506,1137,FALSE,FR,1
e83fa421-99d3-4c17-95f7-b9203eb76fa4,Qd961IK1wJI,J'ai tiré 100 FOIS face à un GARDIEN de LIGUE 1 et j'ai marqué ___ buts (avec @Evan Switch),2021-10-15,UCsRSMLpmuhnNcQKHuuyrVsQ,LEVY,17,Sports,2021-10-17,74081,3523,46,121,FALSE,FR,1
5f0c71bc-6ed0-444d-8f49-798187b2a500,5qcKiL7AOD8,"Lesnar returns for the Universal Title Match Contract Signing with Reigns: SmackDown, Oct. 15, 202..",2021-10-16,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,17,Sports,2021-10-17,2872431,81462,1597,4664,FALSE,FR,1
38867d2c-6173-4b50-8804-6600abb99117,4yyH7gziEtU,🏆🌎 Résumé - Qualif. CDM 2022 : Le Brésil et Neymar XXL contre l'Uruguay,2021-10-15,UCfj4kQ6_mYO5r4hzX5KloVw,beIN SPORTS France,17,Sports,2021-10-17,427127,9082,111,495,FALSE,FR,1
496b8271-c1e6-44e6-9ea1-b3f281b01407,HyuSaG1Wpbk,*37 JUNINHO - CONTES DE FOOT,2021-10-14,UCrD9KhV8IUjmy2GErWS3BYQ,Contes de Foot,17,Sports,2021-10-17,75679,5756,11,476,FALSE,FR,1
6b800c5e-c786-4911-8fe8-a69b72148d87,l4akF5pneEQ,Je traverse seul la JUNGLE à la RAME ! (Amazonie) 2/3,2021-10-13,UCW0c8H6A5860RyfkXwxBpnQ,Nico Mathieux,17,Sports,2021-10-17,140075,13696,61,566,FALSE,FR,1
9a5eb364-e153-48f9-ac2e-68888eb3931d,avtPpUNaDV4,"Le film de la finale de l'UEFA Nations League, Equipe de France I FFF 2021",2021-10-11,UCeJlXGyEl7kBgQJKADAHM3A,Fédération Française de Football,17,Sports,2021-10-17,1504302,46069,609,1875,FALSE,FR,1
27066297-e747-4952-a872-d041f141ff5f,E-vEpP3Z-dE,Les buts de Portugal - Luxembourg - Foot - Qualif. CM 2022,2021-10-12,UCyIV8rkza5Uk_sJIhqilBvQ,L'ÉQUIPE,17,Sports,2021-10-17,206575,3376,130,451,FALSE,FR,1
b3176b1f-096e-40af-912e-4a020c545c00,3uYwP_J9PkE,"À 17 ans, il pousse plus de 200 kg au développé couché !",2021-10-13,UC1GdNuXC7byr3d-b1m7er0Q,Le Musclay,17,Sports,2021-10-17,73010,3629,64,314,FALSE,FR,1
af8d6fde-a3be-43e1-995f-14bf481b8c2d,BswmD3wEicU,"Espagne 1-2 France, le résumé - Finale UEFA Nations League I FFF 2021",2021-10-11,UCeJlXGyEl7kBgQJKADAHM3A,Fédération Française de Football,17,Sports,2021-10-17,1454288,22460,799,1332,FALSE,FR,1
31f678b0-6116-46dc-9fc6-f524ba9fed61,5hKOXrKTDBI,Niger v Algeria | FIFA World Cup Qatar 2022 Qualifier | Match Highlights,2021-10-12,UCpcTrCXblq78GZrTUTLWeBw,FIFATV,17,Sports,2021-10-17,469853,7709,296,1383,FALSE,FR,1
e65dd4fb-2ec5-44ee-932b-dd21129ba737,xNi-I5X34bA,Les buts de Niger - Algérie - Foot - Qualif. CM 2022,2021-10-12,UCyIV8rkza5Uk_sJIhqilBvQ,L'ÉQUIPE,17,Sports,2021-10-17,71449,847,44,280,FALSE,FR,1
294c7c1f-1d29-46c5-b88a-249cdcecf200,7jRyqm8Sues,Le SEUM MONUMENTAL d'Aymeric Laporte après Espagne-France | JT Foot Mercato,2021-10-11,UCrzDtXyuSBch2u_31JJj-Dw,Foot Mercato,17,Sports,2021-10-17,235507,7855,309,955,FALSE,FR,1
